Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 9, 'n_head': 5, 'n_kv_head': 5, 'n_embd': 640, 'window_pattern': 'SSSL'}
Parameter counts:
  wte                     : 5,242,880
  value_embeds            : 26,214,400
  lm_head                 : 5,242,880
  transformer_matrices    : 44,237,200
  scalars                 : 18
  total                   : 80,937,378
Estimated FLOPs per token: 3.912523e+08
Scaling AdamW LRs by 1/sqrt(640/768) = 1.095445
Time budget: 300s
Gradient accumulation steps: 1

step 00000 (0.0%) | loss: 9.011348 | lrm: 1.00 | dt: 12228ms | tok/sec: 10,718 | mfu: 0.4% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 9.180864 | lrm: 1.00 | dt: 120ms | tok/sec: 1,089,637 | mfu: 43.1% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.793711 | lrm: 1.00 | dt: 123ms | tok/sec: 1,067,708 | mfu: 42.2% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 8.428501 | lrm: 1.00 | dt: 123ms | tok/sec: 1,069,568 | mfu: 42.3% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 8.029877 | lrm: 1.00 | dt: 123ms | tok/sec: 1,062,629 | mfu: 42.0% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 7.720862 | lrm: 1.00 | dt: 124ms | tok/sec: 1,058,087 | mfu: 41.8% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 7.459572 | lrm: 1.00 | dt: 123ms | tok/sec: 1,066,176 | mfu: 42.2% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 7.226488 | lrm: 1.00 | dt: 123ms | tok/sec: 1,068,798 | mfu: 42.3% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 7.025685 | lrm: 1.00 | dt: 137ms | tok/sec: 953,331 | mfu: 37.7% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 6.853884 | lrm: 1.00 | dt: 130ms | tok/sec: 1,010,799 | mfu: 40.0% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 6.706391 | lrm: 1.00 | dt: 126ms | tok/sec: 1,037,515 | mfu: 41.0% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 6.574627 | lrm: 1.00 | dt: 124ms | tok/sec: 1,058,089 | mfu: 41.8% | epoch: 1 | remaining: 300s    
step 00012 (0.0%) | loss: 6.463440 | lrm: 1.00 | dt: 123ms | tok/sec: 1,069,572 | mfu: 42.3% | epoch: 1 | remaining: 300s    
step 00013 (0.1%) | loss: 6.366205 | lrm: 1.00 | dt: 124ms | tok/sec: 1,059,788 | mfu: 41.9% | epoch: 1 | remaining: 300s    
step 00031 (0.8%) | loss: 5.593677 | lrm: 0.99 | dt: 128ms | tok/sec: 1,020,602 | mfu: 40.4% | epoch: 1 | remaining: 297s    
step 00032 (0.9%) | loss: 5.567008 | lrm: 0.99 | dt: 128ms | tok/sec: 1,021,406 | mfu: 40.4% | epoch: 1 | remaining: 297s    
step 00033 (0.9%) | loss: 5.544777 | lrm: 0.99 | dt: 128ms | tok/sec: 1,021,387 | mfu: 40.4% | epoch: 1 | remaining: 297s    
step 00034 (1.0%) | loss: 5.518217 | lrm: 0.99 | dt: 126ms | tok/sec: 1,042,044 | mfu: 41.2% | epoch: 1 | remaining: 297s    
step 00035 (1.0%) | loss: 5.493265 | lrm: 0.99 | dt: 126ms | tok/sec: 1,044,251 | mfu: 41.3% | epoch: 1 | remaining: 297s    
step 00036 (1.1%) | loss: 5.472851 | lrm: 0.99 | dt: 127ms | tok/sec: 1,035,895 | mfu: 41.0% | epoch: 1 | remaining: 297s    
step 00037 (1.1%) | loss: 5.448656 | lrm: 0.99 | dt: 124ms | tok/sec: 1,056,012 | mfu: 41.8% | epoch: 1 | remaining: 297s    
step 00038 (1.1%) | loss: 5.425352 | lrm: 0.99 | dt: 126ms | tok/sec: 1,041,014 | mfu: 41.2% | epoch: 1 | remaining: 296s    
step 00039 (1.2%) | loss: 5.402296 | lrm: 0.99 | dt: 127ms | tok/sec: 1,034,688 | mfu: 40.9% | epoch: 1 | remaining: 296s    
step 00040 (1.2%) | loss: 5.379058 | lrm: 0.99 | dt: 128ms | tok/sec: 1,026,874 | mfu: 40.6% | epoch: 1 | remaining: 296s    
step 00041 (1.3%) | loss: 5.357327 | lrm: 0.99 | dt: 128ms | tok/sec: 1,027,661 | mfu: 40.6% | epoch: 1 | remaining: 296s    
step 00042 (1.3%) | loss: 5.337423 | lrm: 0.99 | dt: 127ms | tok/sec: 1,033,517 | mfu: 40.9% | epoch: 1 | remaining: 296s    
step 00043 (1.3%) | loss: 5.312880 | lrm: 0.99 | dt: 125ms | tok/sec: 1,045,936 | mfu: 41.4% | epoch: 1 | remaining: 296s    
step 00044 (1.4%) | loss: 5.292324 | lrm: 0.99 | dt: 123ms | tok/sec: 1,062,496 | mfu: 42.0% | epoch: 1 | remaining: 296s    
step 00045 (1.4%) | loss: 5.274543 | lrm: 0.99 | dt: 124ms | tok/sec: 1,053,571 | mfu: 41.7% | epoch: 1 | remaining: 296s    
step 00046 (1.5%) | loss: 5.256915 | lrm: 0.99 | dt: 125ms | tok/sec: 1,052,234 | mfu: 41.6% | epoch: 1 | remaining: 295s    
step 00047 (1.5%) | loss: 5.236686 | lrm: 0.98 | dt: 127ms | tok/sec: 1,034,157 | mfu: 40.9% | epoch: 1 | remaining: 295s    
step 00048 (1.6%) | loss: 5.217877 | lrm: 0.98 | dt: 125ms | tok/sec: 1,045,280 | mfu: 41.3% | epoch: 1 | remaining: 295s    
step 00049 (1.6%) | loss: 5.198512 | lrm: 0.98 | dt: 126ms | tok/sec: 1,038,768 | mfu: 41.1% | epoch: 1 | remaining: 295s    
step 00050 (1.6%) | loss: 5.178435 | lrm: 0.98 | dt: 126ms | tok/sec: 1,037,711 | mfu: 41.0% | epoch: 1 | remaining: 295s    
step 00051 (1.7%) | loss: 5.157620 | lrm: 0.98 | dt: 125ms | tok/sec: 1,050,393 | mfu: 41.5% | epoch: 1 | remaining: 295s    
step 00052 (1.7%) | loss: 5.134739 | lrm: 0.98 | dt: 123ms | tok/sec: 1,063,363 | mfu: 42.0% | epoch: 1 | remaining: 295s    
step 00053 (1.8%) | loss: 5.118147 | lrm: 0.98 | dt: 125ms | tok/sec: 1,048,658 | mfu: 41.5% | epoch: 1 | remaining: 295s    
step 00054 (1.8%) | loss: 5.098311 | lrm: 0.98 | dt: 126ms | tok/sec: 1,041,026 | mfu: 41.2% | epoch: 1 | remaining: 294s    
step 00055 (1.8%) | loss: 5.078719 | lrm: 0.98 | dt: 126ms | tok/sec: 1,041,127 | mfu: 41.2% | epoch: 1 | remaining: 294s    
step 00056 (1.9%) | loss: 5.057880 | lrm: 0.98 | dt: 127ms | tok/sec: 1,029,782 | mfu: 40.7% | epoch: 1 | remaining: 294s    
step 00057 (1.9%) | loss: 5.040895 | lrm: 0.98 | dt: 127ms | tok/sec: 1,032,089 | mfu: 40.8% | epoch: 1 | remaining: 294s    
step 00058 (2.0%) | loss: 5.027134 | lrm: 0.98 | dt: 126ms | tok/sec: 1,043,243 | mfu: 41.3% | epoch: 1 | remaining: 294s    
step 00059 (2.0%) | loss: 5.005187 | lrm: 0.98 | dt: 125ms | tok/sec: 1,048,306 | mfu: 41.5% | epoch: 1 | remaining: 294s    
step 00060 (2.1%) | loss: 4.985845 | lrm: 0.98 | dt: 127ms | tok/sec: 1,031,765 | mfu: 40.8% | epoch: 1 | remaining: 294s    
step 00061 (2.1%) | loss: 4.961195 | lrm: 0.98 | dt: 124ms | tok/sec: 1,052,986 | mfu: 41.6% | epoch: 1 | remaining: 294s    
step 00062 (2.1%) | loss: 4.942374 | lrm: 0.98 | dt: 125ms | tok/sec: 1,050,300 | mfu: 41.5% | epoch: 1 | remaining: 293s    
step 00063 (2.2%) | loss: 4.925844 | lrm: 0.98 | dt: 126ms | tok/sec: 1,039,711 | mfu: 41.1% | epoch: 1 | remaining: 293s    
step 00064 (2.2%) | loss: 4.909960 | lrm: 0.98 | dt: 126ms | tok/sec: 1,038,815 | mfu: 41.1% | epoch: 1 | remaining: 293s    
step 00065 (2.3%) | loss: 4.893420 | lrm: 0.98 | dt: 127ms | tok/sec: 1,033,834 | mfu: 40.9% | epoch: 1 | remaining: 293s    
step 00066 (2.3%) | loss: 4.873300 | lrm: 0.98 | dt: 125ms | tok/sec: 1,048,648 | mfu: 41.5% | epoch: 1 | remaining: 293s    
step 00067 (2.3%) | loss: 4.859062 | lrm: 0.98 | dt: 126ms | tok/sec: 1,039,072 | mfu: 41.1% | epoch: 1 | remaining: 293s    
step 00068 (2.4%) | loss: 4.842167 | lrm: 0.98 | dt: 126ms | tok/sec: 1,043,615 | mfu: 41.3% | epoch: 1 | remaining: 293s    
step 00069 (2.4%) | loss: 4.822574 | lrm: 0.98 | dt: 124ms | tok/sec: 1,053,432 | mfu: 41.7% | epoch: 1 | remaining: 293s    
step 00070 (2.5%) | loss: 4.807303 | lrm: 0.98 | dt: 126ms | tok/sec: 1,040,164 | mfu: 41.1% | epoch: 1 | remaining: 292s    
step 00071 (2.5%) | loss: 4.784947 | lrm: 0.97 | dt: 126ms | tok/sec: 1,039,316 | mfu: 41.1% | epoch: 1 | remaining: 292s    
step 00072 (2.6%) | loss: 4.769407 | lrm: 0.97 | dt: 127ms | tok/sec: 1,035,208 | mfu: 40.9% | epoch: 1 | remaining: 292s    
step 00073 (2.6%) | loss: 4.749632 | lrm: 0.97 | dt: 127ms | tok/sec: 1,034,857 | mfu: 40.9% | epoch: 1 | remaining: 292s    
step 00074 (2.6%) | loss: 4.735847 | lrm: 0.97 | dt: 126ms | tok/sec: 1,036,539 | mfu: 41.0% | epoch: 1 | remaining: 292s    
step 00075 (2.7%) | loss: 4.719188 | lrm: 0.97 | dt: 125ms | tok/sec: 1,051,357 | mfu: 41.6% | epoch: 1 | remaining: 292s    
step 00076 (2.7%) | loss: 4.701715 | lrm: 0.97 | dt: 125ms | tok/sec: 1,046,934 | mfu: 41.4% | epoch: 1 | remaining: 292s    
step 00077 (2.8%) | loss: 4.680380 | lrm: 0.97 | dt: 126ms | tok/sec: 1,044,067 | mfu: 41.3% | epoch: 1 | remaining: 292s    
step 00078 (2.8%) | loss: 4.661138 | lrm: 0.97 | dt: 125ms | tok/sec: 1,046,287 | mfu: 41.4% | epoch: 1 | remaining: 291s    
step 00079 (2.9%) | loss: 4.645009 | lrm: 0.97 | dt: 126ms | tok/sec: 1,041,068 | mfu: 41.2% | epoch: 1 | remaining: 291s    
step 00080 (2.9%) | loss: 4.630024 | lrm: 0.97 | dt: 126ms | tok/sec: 1,042,258 | mfu: 41.2% | epoch: 1 | remaining: 291s    
step 00081 (2.9%) | loss: 4.616998 | lrm: 0.97 | dt: 127ms | tok/sec: 1,032,977 | mfu: 40.8% | epoch: 1 | remaining: 291s    
step 00082 (3.0%) | loss: 4.597778 | lrm: 0.97 | dt: 126ms | tok/sec: 1,041,719 | mfu: 41.2% | epoch: 1 | remaining: 291s    
step 00083 (3.0%) | loss: 4.580097 | lrm: 0.97 | dt: 126ms | tok/sec: 1,037,104 | mfu: 41.0% | epoch: 1 | remaining: 291s    
step 00084 (3.1%) | loss: 4.563224 | lrm: 0.97 | dt: 127ms | tok/sec: 1,034,018 | mfu: 40.9% | epoch: 1 | remaining: 291s    
step 00085 (3.1%) | loss: 4.551210 | lrm: 0.97 | dt: 124ms | tok/sec: 1,053,456 | mfu: 41.7% | epoch: 1 | remaining: 291s    
step 00086 (3.1%) | loss: 4.534174 | lrm: 0.97 | dt: 126ms | tok/sec: 1,036,561 | mfu: 41.0% | epoch: 1 | remaining: 290s    
step 00087 (3.2%) | loss: 4.513304 | lrm: 0.97 | dt: 125ms | tok/sec: 1,047,904 | mfu: 41.4% | epoch: 1 | remaining: 290s    
step 00088 (3.2%) | loss: 4.498473 | lrm: 0.97 | dt: 127ms | tok/sec: 1,030,051 | mfu: 40.7% | epoch: 1 | remaining: 290s    
step 00089 (3.3%) | loss: 4.480526 | lrm: 0.97 | dt: 125ms | tok/sec: 1,045,288 | mfu: 41.3% | epoch: 1 | remaining: 290s    
step 00090 (3.3%) | loss: 4.463212 | lrm: 0.97 | dt: 126ms | tok/sec: 1,042,064 | mfu: 41.2% | epoch: 1 | remaining: 290s    
step 00091 (3.4%) | loss: 4.452125 | lrm: 0.97 | dt: 127ms | tok/sec: 1,030,997 | mfu: 40.8% | epoch: 1 | remaining: 290s    
step 00092 (3.4%) | loss: 4.436388 | lrm: 0.97 | dt: 124ms | tok/sec: 1,054,691 | mfu: 41.7% | epoch: 1 | remaining: 290s    
step 00093 (3.4%) | loss: 4.418740 | lrm: 0.97 | dt: 126ms | tok/sec: 1,042,044 | mfu: 41.2% | epoch: 1 | remaining: 290s    
step 00094 (3.5%) | loss: 4.403404 | lrm: 0.97 | dt: 126ms | tok/sec: 1,039,861 | mfu: 41.1% | epoch: 1 | remaining: 289s    
step 00095 (3.5%) | loss: 4.382631 | lrm: 0.96 | dt: 126ms | tok/sec: 1,036,401 | mfu: 41.0% | epoch: 1 | remaining: 289s    
step 00096 (3.6%) | loss: 4.367061 | lrm: 0.96 | dt: 125ms | tok/sec: 1,050,042 | mfu: 41.5% | epoch: 1 | remaining: 289s    
step 00097 (3.6%) | loss: 4.348944 | lrm: 0.96 | dt: 127ms | tok/sec: 1,031,591 | mfu: 40.8% | epoch: 1 | remaining: 289s    
step 00098 (3.7%) | loss: 4.328615 | lrm: 0.96 | dt: 127ms | tok/sec: 1,035,620 | mfu: 40.9% | epoch: 1 | remaining: 289s    
step 00099 (3.7%) | loss: 4.314226 | lrm: 0.96 | dt: 126ms | tok/sec: 1,041,857 | mfu: 41.2% | epoch: 1 | remaining: 289s    
step 00100 (3.7%) | loss: 4.307437 | lrm: 0.96 | dt: 125ms | tok/sec: 1,049,436 | mfu: 41.5% | epoch: 1 | remaining: 289s    
step 00101 (3.8%) | loss: 4.296626 | lrm: 0.96 | dt: 126ms | tok/sec: 1,038,080 | mfu: 41.0% | epoch: 1 | remaining: 289s    
step 00102 (3.8%) | loss: 4.282583 | lrm: 0.96 | dt: 125ms | tok/sec: 1,046,243 | mfu: 41.4% | epoch: 1 | remaining: 288s    
step 00103 (3.9%) | loss: 4.266550 | lrm: 0.96 | dt: 126ms | tok/sec: 1,043,217 | mfu: 41.2% | epoch: 1 | remaining: 288s    
step 00104 (3.9%) | loss: 4.256220 | lrm: 0.96 | dt: 125ms | tok/sec: 1,048,832 | mfu: 41.5% | epoch: 1 | remaining: 288s    
step 00105 (3.9%) | loss: 4.244703 | lrm: 0.96 | dt: 127ms | tok/sec: 1,034,511 | mfu: 40.9% | epoch: 1 | remaining: 288s    
step 00106 (4.0%) | loss: 4.231665 | lrm: 0.96 | dt: 125ms | tok/sec: 1,048,546 | mfu: 41.5% | epoch: 1 | remaining: 288s    
step 00107 (4.0%) | loss: 4.219506 | lrm: 0.96 | dt: 127ms | tok/sec: 1,033,422 | mfu: 40.9% | epoch: 1 | remaining: 288s    
step 00108 (4.1%) | loss: 4.202782 | lrm: 0.96 | dt: 127ms | tok/sec: 1,034,814 | mfu: 40.9% | epoch: 1 | remaining: 288s    
step 00109 (4.1%) | loss: 4.187091 | lrm: 0.96 | dt: 126ms | tok/sec: 1,042,807 | mfu: 41.2% | epoch: 1 | remaining: 288s    
step 00110 (4.2%) | loss: 4.173860 | lrm: 0.96 | dt: 126ms | tok/sec: 1,036,803 | mfu: 41.0% | epoch: 1 | remaining: 287s    
step 00111 (4.2%) | loss: 4.167093 | lrm: 0.96 | dt: 126ms | tok/sec: 1,041,330 | mfu: 41.2% | epoch: 1 | remaining: 287s    
step 00112 (4.2%) | loss: 4.158504 | lrm: 0.96 | dt: 125ms | tok/sec: 1,045,186 | mfu: 41.3% | epoch: 1 | remaining: 287s    
step 00113 (4.3%) | loss: 4.149841 | lrm: 0.96 | dt: 125ms | tok/sec: 1,048,938 | mfu: 41.5% | epoch: 1 | remaining: 287s    
step 00114 (4.3%) | loss: 4.136917 | lrm: 0.96 | dt: 126ms | tok/sec: 1,036,160 | mfu: 41.0% | epoch: 1 | remaining: 287s    
step 00115 (4.4%) | loss: 4.126552 | lrm: 0.96 | dt: 127ms | tok/sec: 1,030,524 | mfu: 40.7% | epoch: 1 | remaining: 287s    
step 00116 (4.4%) | loss: 4.119034 | lrm: 0.96 | dt: 125ms | tok/sec: 1,052,583 | mfu: 41.6% | epoch: 1 | remaining: 287s    
step 00117 (4.4%) | loss: 4.104853 | lrm: 0.96 | dt: 126ms | tok/sec: 1,041,314 | mfu: 41.2% | epoch: 1 | remaining: 287s    
step 00118 (4.5%) | loss: 4.094526 | lrm: 0.96 | dt: 127ms | tok/sec: 1,035,042 | mfu: 40.9% | epoch: 1 | remaining: 286s    
step 00119 (4.5%) | loss: 4.084945 | lrm: 0.95 | dt: 125ms | tok/sec: 1,051,335 | mfu: 41.6% | epoch: 1 | remaining: 286s    
step 00120 (4.6%) | loss: 4.080404 | lrm: 0.95 | dt: 125ms | tok/sec: 1,047,267 | mfu: 41.4% | epoch: 1 | remaining: 286s    
step 00121 (4.6%) | loss: 4.066683 | lrm: 0.95 | dt: 127ms | tok/sec: 1,034,345 | mfu: 40.9% | epoch: 1 | remaining: 286s    
step 00122 (4.7%) | loss: 4.055511 | lrm: 0.95 | dt: 127ms | tok/sec: 1,033,727 | mfu: 40.9% | epoch: 1 | remaining: 286s    
step 00123 (4.7%) | loss: 4.041329 | lrm: 0.95 | dt: 126ms | tok/sec: 1,043,346 | mfu: 41.3% | epoch: 1 | remaining: 286s    
step 00124 (4.7%) | loss: 4.030536 | lrm: 0.95 | dt: 126ms | tok/sec: 1,036,964 | mfu: 41.0% | epoch: 1 | remaining: 286s    
step 00125 (4.8%) | loss: 4.018984 | lrm: 0.95 | dt: 126ms | tok/sec: 1,037,024 | mfu: 41.0% | epoch: 1 | remaining: 286s    
step 00126 (4.8%) | loss: 4.005017 | lrm: 0.95 | dt: 126ms | tok/sec: 1,038,174 | mfu: 41.0% | epoch: 1 | remaining: 285s    
step 00127 (4.9%) | loss: 3.998513 | lrm: 0.95 | dt: 127ms | tok/sec: 1,032,416 | mfu: 40.8% | epoch: 1 | remaining: 285s    
step 00128 (4.9%) | loss: 3.992881 | lrm: 0.95 | dt: 127ms | tok/sec: 1,034,550 | mfu: 40.9% | epoch: 1 | remaining: 285s    
step 00129 (5.0%) | loss: 3.978528 | lrm: 0.95 | dt: 124ms | tok/sec: 1,056,897 | mfu: 41.8% | epoch: 1 | remaining: 285s    
step 00130 (5.0%) | loss: 3.967445 | lrm: 0.95 | dt: 126ms | tok/sec: 1,036,823 | mfu: 41.0% | epoch: 1 | remaining: 285s    
step 00131 (5.0%) | loss: 3.952808 | lrm: 0.95 | dt: 126ms | tok/sec: 1,038,146 | mfu: 41.0% | epoch: 1 | remaining: 285s    
step 00132 (5.1%) | loss: 3.947376 | lrm: 0.95 | dt: 126ms | tok/sec: 1,044,364 | mfu: 41.3% | epoch: 1 | remaining: 285s    
step 00133 (5.1%) | loss: 3.941758 | lrm: 0.95 | dt: 127ms | tok/sec: 1,029,578 | mfu: 40.7% | epoch: 1 | remaining: 285s    
step 00134 (5.2%) | loss: 3.928514 | lrm: 0.95 | dt: 127ms | tok/sec: 1,028,913 | mfu: 40.7% | epoch: 1 | remaining: 284s    
step 00135 (5.2%) | loss: 3.923503 | lrm: 0.95 | dt: 125ms | tok/sec: 1,044,910 | mfu: 41.3% | epoch: 1 | remaining: 284s    
step 00136 (5.2%) | loss: 3.913169 | lrm: 0.95 | dt: 126ms | tok/sec: 1,042,627 | mfu: 41.2% | epoch: 1 | remaining: 284s    
step 00137 (5.3%) | loss: 3.903785 | lrm: 0.95 | dt: 125ms | tok/sec: 1,048,326 | mfu: 41.5% | epoch: 1 | remaining: 284s    
step 00138 (5.3%) | loss: 3.890263 | lrm: 0.95 | dt: 126ms | tok/sec: 1,039,798 | mfu: 41.1% | epoch: 1 | remaining: 284s    
step 00139 (5.4%) | loss: 3.880538 | lrm: 0.95 | dt: 126ms | tok/sec: 1,040,624 | mfu: 41.1% | epoch: 1 | remaining: 284s    
step 00140 (5.4%) | loss: 3.866740 | lrm: 0.95 | dt: 127ms | tok/sec: 1,029,090 | mfu: 40.7% | epoch: 1 | remaining: 284s    
step 00141 (5.5%) | loss: 3.858975 | lrm: 0.95 | dt: 126ms | tok/sec: 1,040,295 | mfu: 41.1% | epoch: 1 | remaining: 284s    
step 00142 (5.5%) | loss: 3.852275 | lrm: 0.95 | dt: 126ms | tok/sec: 1,038,389 | mfu: 41.1% | epoch: 1 | remaining: 283s    
step 00143 (5.5%) | loss: 3.845233 | lrm: 0.94 | dt: 125ms | tok/sec: 1,047,954 | mfu: 41.4% | epoch: 1 | remaining: 283s    
step 00144 (5.6%) | loss: 3.838739 | lrm: 0.94 | dt: 126ms | tok/sec: 1,039,363 | mfu: 41.1% | epoch: 1 | remaining: 283s    
step 00145 (5.6%) | loss: 3.834992 | lrm: 0.94 | dt: 125ms | tok/sec: 1,045,417 | mfu: 41.3% | epoch: 1 | remaining: 283s    
step 00146 (5.7%) | loss: 3.830857 | lrm: 0.94 | dt: 124ms | tok/sec: 1,054,408 | mfu: 41.7% | epoch: 1 | remaining: 283s    
step 00147 (5.7%) | loss: 3.818324 | lrm: 0.94 | dt: 125ms | tok/sec: 1,048,348 | mfu: 41.5% | epoch: 1 | remaining: 283s    
step 00148 (5.7%) | loss: 3.817397 | lrm: 0.94 | dt: 128ms | tok/sec: 1,025,895 | mfu: 40.6% | epoch: 1 | remaining: 283s    
step 00149 (5.8%) | loss: 3.811510 | lrm: 0.94 | dt: 125ms | tok/sec: 1,045,558 | mfu: 41.3% | epoch: 1 | remaining: 282s    
step 00150 (5.8%) | loss: 3.804423 | lrm: 0.94 | dt: 127ms | tok/sec: 1,031,392 | mfu: 40.8% | epoch: 1 | remaining: 282s    
step 00151 (5.9%) | loss: 3.798829 | lrm: 0.94 | dt: 127ms | tok/sec: 1,035,027 | mfu: 40.9% | epoch: 1 | remaining: 282s    
