Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 8, 'n_head': 4, 'n_kv_head': 4, 'n_embd': 512, 'window_pattern': 'SSSL'}
Parameter counts:
  wte                     : 4,194,304
  value_embeds            : 33,554,432
  lm_head                 : 4,194,304
  transformer_matrices    : 25,167,872
  scalars                 : 16
  total                   : 67,110,928
Estimated FLOPs per token: 2.390876e+08
Scaling AdamW LRs by 1/sqrt(512/768) = 1.224745
Time budget: 300s
Gradient accumulation steps: 1

step 00000 (0.0%) | loss: 9.011263 | lrm: 1.00 | dt: 37751ms | tok/sec: 6,944 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 8.831328 | lrm: 1.00 | dt: 153ms | tok/sec: 1,714,303 | mfu: 41.4% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.291368 | lrm: 1.00 | dt: 159ms | tok/sec: 1,649,439 | mfu: 39.9% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 7.830608 | lrm: 1.00 | dt: 158ms | tok/sec: 1,656,679 | mfu: 40.0% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 7.434854 | lrm: 1.00 | dt: 156ms | tok/sec: 1,682,030 | mfu: 40.6% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 7.135597 | lrm: 1.00 | dt: 156ms | tok/sec: 1,677,616 | mfu: 40.5% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 6.896554 | lrm: 1.00 | dt: 176ms | tok/sec: 1,490,938 | mfu: 36.0% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 6.702805 | lrm: 1.00 | dt: 163ms | tok/sec: 1,604,807 | mfu: 38.8% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 6.543771 | lrm: 1.00 | dt: 157ms | tok/sec: 1,671,025 | mfu: 40.4% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 6.413353 | lrm: 1.00 | dt: 160ms | tok/sec: 1,633,615 | mfu: 39.5% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 6.306980 | lrm: 1.00 | dt: 159ms | tok/sec: 1,649,625 | mfu: 39.9% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 6.210110 | lrm: 1.00 | dt: 160ms | tok/sec: 1,641,248 | mfu: 39.7% | epoch: 1 | remaining: 300s    
step 00012 (0.1%) | loss: 6.121120 | lrm: 1.00 | dt: 169ms | tok/sec: 1,548,564 | mfu: 37.4% | epoch: 1 | remaining: 300s    
step 00013 (0.1%) | loss: 6.046440 | lrm: 1.00 | dt: 165ms | tok/sec: 1,590,500 | mfu: 38.4% | epoch: 1 | remaining: 300s    
step 00069 (3.1%) | loss: 4.293215 | lrm: 1.00 | dt: 163ms | tok/sec: 1,603,824 | mfu: 38.8% | epoch: 1 | remaining: 290s    
step 00070 (3.2%) | loss: 4.271040 | lrm: 1.00 | dt: 161ms | tok/sec: 1,628,131 | mfu: 39.3% | epoch: 1 | remaining: 290s    
step 00071 (3.2%) | loss: 4.255091 | lrm: 1.00 | dt: 163ms | tok/sec: 1,609,369 | mfu: 38.9% | epoch: 1 | remaining: 290s    
step 00072 (3.3%) | loss: 4.240668 | lrm: 1.00 | dt: 164ms | tok/sec: 1,596,623 | mfu: 38.6% | epoch: 1 | remaining: 290s    
step 00073 (3.3%) | loss: 4.223260 | lrm: 1.00 | dt: 160ms | tok/sec: 1,638,023 | mfu: 39.6% | epoch: 1 | remaining: 290s    
step 00074 (3.4%) | loss: 4.207526 | lrm: 1.00 | dt: 159ms | tok/sec: 1,645,280 | mfu: 39.8% | epoch: 1 | remaining: 290s    
step 00075 (3.4%) | loss: 4.189671 | lrm: 1.00 | dt: 161ms | tok/sec: 1,632,342 | mfu: 39.4% | epoch: 1 | remaining: 290s    
step 00076 (3.5%) | loss: 4.171763 | lrm: 1.00 | dt: 160ms | tok/sec: 1,636,333 | mfu: 39.5% | epoch: 1 | remaining: 289s    
step 00077 (3.5%) | loss: 4.155125 | lrm: 1.00 | dt: 162ms | tok/sec: 1,622,382 | mfu: 39.2% | epoch: 1 | remaining: 289s    
step 00078 (3.6%) | loss: 4.142019 | lrm: 1.00 | dt: 160ms | tok/sec: 1,643,507 | mfu: 39.7% | epoch: 1 | remaining: 289s    
step 00079 (3.7%) | loss: 4.127949 | lrm: 1.00 | dt: 158ms | tok/sec: 1,663,841 | mfu: 40.2% | epoch: 1 | remaining: 289s    
step 00080 (3.7%) | loss: 4.107396 | lrm: 1.00 | dt: 159ms | tok/sec: 1,652,347 | mfu: 39.9% | epoch: 1 | remaining: 289s    
step 00081 (3.8%) | loss: 4.088698 | lrm: 1.00 | dt: 164ms | tok/sec: 1,601,483 | mfu: 38.7% | epoch: 1 | remaining: 289s    
step 00082 (3.8%) | loss: 4.068750 | lrm: 1.00 | dt: 161ms | tok/sec: 1,631,966 | mfu: 39.4% | epoch: 1 | remaining: 288s    
step 00083 (3.9%) | loss: 4.054444 | lrm: 1.00 | dt: 162ms | tok/sec: 1,613,654 | mfu: 39.0% | epoch: 1 | remaining: 288s    
step 00084 (3.9%) | loss: 4.041804 | lrm: 1.00 | dt: 160ms | tok/sec: 1,637,152 | mfu: 39.6% | epoch: 1 | remaining: 288s    
step 00085 (4.0%) | loss: 4.028530 | lrm: 1.00 | dt: 162ms | tok/sec: 1,620,259 | mfu: 39.1% | epoch: 1 | remaining: 288s    
step 00086 (4.0%) | loss: 4.015010 | lrm: 1.00 | dt: 159ms | tok/sec: 1,644,737 | mfu: 39.7% | epoch: 1 | remaining: 288s    
step 00087 (4.1%) | loss: 4.001316 | lrm: 1.00 | dt: 161ms | tok/sec: 1,625,681 | mfu: 39.3% | epoch: 1 | remaining: 288s    
step 00088 (4.1%) | loss: 3.984249 | lrm: 1.00 | dt: 162ms | tok/sec: 1,618,268 | mfu: 39.1% | epoch: 1 | remaining: 287s    
step 00089 (4.2%) | loss: 3.972629 | lrm: 1.00 | dt: 164ms | tok/sec: 1,596,296 | mfu: 38.6% | epoch: 1 | remaining: 287s    
step 00090 (4.2%) | loss: 3.959691 | lrm: 1.00 | dt: 160ms | tok/sec: 1,642,449 | mfu: 39.7% | epoch: 1 | remaining: 287s    
step 00091 (4.3%) | loss: 3.949967 | lrm: 1.00 | dt: 163ms | tok/sec: 1,606,317 | mfu: 38.8% | epoch: 1 | remaining: 287s    
step 00092 (4.4%) | loss: 3.934422 | lrm: 1.00 | dt: 158ms | tok/sec: 1,654,196 | mfu: 40.0% | epoch: 1 | remaining: 287s    
step 00093 (4.4%) | loss: 3.923322 | lrm: 1.00 | dt: 161ms | tok/sec: 1,623,580 | mfu: 39.2% | epoch: 1 | remaining: 287s    
step 00094 (4.5%) | loss: 3.908842 | lrm: 1.00 | dt: 158ms | tok/sec: 1,659,913 | mfu: 40.1% | epoch: 1 | remaining: 286s    
step 00095 (4.5%) | loss: 3.888096 | lrm: 1.00 | dt: 163ms | tok/sec: 1,612,005 | mfu: 39.0% | epoch: 1 | remaining: 286s    
step 00096 (4.6%) | loss: 3.875364 | lrm: 1.00 | dt: 162ms | tok/sec: 1,622,330 | mfu: 39.2% | epoch: 1 | remaining: 286s    
step 00097 (4.6%) | loss: 3.869326 | lrm: 1.00 | dt: 163ms | tok/sec: 1,610,918 | mfu: 38.9% | epoch: 1 | remaining: 286s    
step 00098 (4.7%) | loss: 3.860498 | lrm: 1.00 | dt: 158ms | tok/sec: 1,660,148 | mfu: 40.1% | epoch: 1 | remaining: 286s    
step 00099 (4.7%) | loss: 3.849277 | lrm: 1.00 | dt: 164ms | tok/sec: 1,602,454 | mfu: 38.7% | epoch: 1 | remaining: 286s    
step 00100 (4.8%) | loss: 3.838550 | lrm: 1.00 | dt: 160ms | tok/sec: 1,641,194 | mfu: 39.7% | epoch: 1 | remaining: 285s    
step 00101 (4.8%) | loss: 3.826412 | lrm: 1.00 | dt: 161ms | tok/sec: 1,631,860 | mfu: 39.4% | epoch: 1 | remaining: 285s    
step 00102 (4.9%) | loss: 3.815883 | lrm: 1.00 | dt: 159ms | tok/sec: 1,651,860 | mfu: 39.9% | epoch: 1 | remaining: 285s    
step 00103 (4.9%) | loss: 3.809117 | lrm: 1.00 | dt: 161ms | tok/sec: 1,628,944 | mfu: 39.4% | epoch: 1 | remaining: 285s    
step 00104 (5.0%) | loss: 3.800414 | lrm: 1.00 | dt: 156ms | tok/sec: 1,676,634 | mfu: 40.5% | epoch: 1 | remaining: 285s    
step 00105 (5.0%) | loss: 3.791195 | lrm: 1.00 | dt: 160ms | tok/sec: 1,635,917 | mfu: 39.5% | epoch: 1 | remaining: 285s    
step 00106 (5.1%) | loss: 3.783469 | lrm: 1.00 | dt: 161ms | tok/sec: 1,626,739 | mfu: 39.3% | epoch: 1 | remaining: 285s    
step 00107 (5.2%) | loss: 3.778807 | lrm: 1.00 | dt: 162ms | tok/sec: 1,620,439 | mfu: 39.2% | epoch: 1 | remaining: 284s    
step 00108 (5.2%) | loss: 3.774591 | lrm: 1.00 | dt: 160ms | tok/sec: 1,641,326 | mfu: 39.7% | epoch: 1 | remaining: 284s    
step 00109 (5.3%) | loss: 3.769124 | lrm: 1.00 | dt: 164ms | tok/sec: 1,595,932 | mfu: 38.6% | epoch: 1 | remaining: 284s    
step 00110 (5.3%) | loss: 3.764854 | lrm: 1.00 | dt: 160ms | tok/sec: 1,636,808 | mfu: 39.5% | epoch: 1 | remaining: 284s    
step 00111 (5.4%) | loss: 3.756845 | lrm: 1.00 | dt: 162ms | tok/sec: 1,618,330 | mfu: 39.1% | epoch: 1 | remaining: 284s    
step 00112 (5.4%) | loss: 3.747623 | lrm: 1.00 | dt: 161ms | tok/sec: 1,633,176 | mfu: 39.5% | epoch: 1 | remaining: 284s    
step 00113 (5.5%) | loss: 3.745988 | lrm: 1.00 | dt: 162ms | tok/sec: 1,613,703 | mfu: 39.0% | epoch: 1 | remaining: 283s    
step 00114 (5.5%) | loss: 3.739630 | lrm: 1.00 | dt: 159ms | tok/sec: 1,643,674 | mfu: 39.7% | epoch: 1 | remaining: 283s    
step 00115 (5.6%) | loss: 3.733060 | lrm: 1.00 | dt: 161ms | tok/sec: 1,624,612 | mfu: 39.3% | epoch: 1 | remaining: 283s    
step 00116 (5.6%) | loss: 3.724775 | lrm: 1.00 | dt: 158ms | tok/sec: 1,659,404 | mfu: 40.1% | epoch: 1 | remaining: 283s    
step 00117 (5.7%) | loss: 3.715513 | lrm: 1.00 | dt: 160ms | tok/sec: 1,637,640 | mfu: 39.6% | epoch: 1 | remaining: 283s    
step 00118 (5.7%) | loss: 3.711264 | lrm: 1.00 | dt: 161ms | tok/sec: 1,630,976 | mfu: 39.4% | epoch: 1 | remaining: 283s    
step 00119 (5.8%) | loss: 3.709005 | lrm: 1.00 | dt: 163ms | tok/sec: 1,610,140 | mfu: 38.9% | epoch: 1 | remaining: 282s    
step 00120 (5.9%) | loss: 3.701067 | lrm: 1.00 | dt: 159ms | tok/sec: 1,646,633 | mfu: 39.8% | epoch: 1 | remaining: 282s    
step 00121 (5.9%) | loss: 3.696950 | lrm: 1.00 | dt: 165ms | tok/sec: 1,587,478 | mfu: 38.4% | epoch: 1 | remaining: 282s    
step 00122 (6.0%) | loss: 3.690787 | lrm: 1.00 | dt: 159ms | tok/sec: 1,647,729 | mfu: 39.8% | epoch: 1 | remaining: 282s    
step 00123 (6.0%) | loss: 3.682866 | lrm: 1.00 | dt: 159ms | tok/sec: 1,649,957 | mfu: 39.9% | epoch: 1 | remaining: 282s    
step 00124 (6.1%) | loss: 3.681312 | lrm: 1.00 | dt: 161ms | tok/sec: 1,625,445 | mfu: 39.3% | epoch: 1 | remaining: 282s    
step 00125 (6.1%) | loss: 3.677943 | lrm: 1.00 | dt: 160ms | tok/sec: 1,633,343 | mfu: 39.5% | epoch: 1 | remaining: 281s    
step 00126 (6.2%) | loss: 3.670590 | lrm: 1.00 | dt: 159ms | tok/sec: 1,650,360 | mfu: 39.9% | epoch: 1 | remaining: 281s    
step 00127 (6.2%) | loss: 3.666778 | lrm: 1.00 | dt: 165ms | tok/sec: 1,592,122 | mfu: 38.5% | epoch: 1 | remaining: 281s    
step 00128 (6.3%) | loss: 3.657965 | lrm: 1.00 | dt: 157ms | tok/sec: 1,671,805 | mfu: 40.4% | epoch: 1 | remaining: 281s    
step 00129 (6.3%) | loss: 3.653942 | lrm: 1.00 | dt: 160ms | tok/sec: 1,636,606 | mfu: 39.5% | epoch: 1 | remaining: 281s    
step 00130 (6.4%) | loss: 3.648783 | lrm: 1.00 | dt: 163ms | tok/sec: 1,603,958 | mfu: 38.8% | epoch: 1 | remaining: 281s    
step 00131 (6.4%) | loss: 3.639452 | lrm: 1.00 | dt: 161ms | tok/sec: 1,624,705 | mfu: 39.3% | epoch: 1 | remaining: 281s    
step 00132 (6.5%) | loss: 3.637547 | lrm: 1.00 | dt: 159ms | tok/sec: 1,652,091 | mfu: 39.9% | epoch: 1 | remaining: 280s    
step 00133 (6.5%) | loss: 3.634567 | lrm: 1.00 | dt: 163ms | tok/sec: 1,606,986 | mfu: 38.8% | epoch: 1 | remaining: 280s    
step 00134 (6.6%) | loss: 3.633589 | lrm: 1.00 | dt: 163ms | tok/sec: 1,611,870 | mfu: 38.9% | epoch: 1 | remaining: 280s    
step 00135 (6.7%) | loss: 3.631033 | lrm: 1.00 | dt: 157ms | tok/sec: 1,664,582 | mfu: 40.2% | epoch: 1 | remaining: 280s    
step 00136 (6.7%) | loss: 3.627791 | lrm: 1.00 | dt: 158ms | tok/sec: 1,657,753 | mfu: 40.1% | epoch: 1 | remaining: 280s    
step 00137 (6.8%) | loss: 3.625884 | lrm: 1.00 | dt: 162ms | tok/sec: 1,620,582 | mfu: 39.2% | epoch: 1 | remaining: 280s    
step 00138 (6.8%) | loss: 3.624305 | lrm: 1.00 | dt: 160ms | tok/sec: 1,636,385 | mfu: 39.5% | epoch: 1 | remaining: 279s    
step 00139 (6.9%) | loss: 3.623189 | lrm: 1.00 | dt: 164ms | tok/sec: 1,598,768 | mfu: 38.6% | epoch: 1 | remaining: 279s    
step 00140 (6.9%) | loss: 3.617792 | lrm: 1.00 | dt: 163ms | tok/sec: 1,608,945 | mfu: 38.9% | epoch: 1 | remaining: 279s    
step 00141 (7.0%) | loss: 3.613267 | lrm: 1.00 | dt: 161ms | tok/sec: 1,624,350 | mfu: 39.2% | epoch: 1 | remaining: 279s    
step 00142 (7.0%) | loss: 3.606734 | lrm: 1.00 | dt: 158ms | tok/sec: 1,660,763 | mfu: 40.1% | epoch: 1 | remaining: 279s    
step 00143 (7.1%) | loss: 3.608074 | lrm: 1.00 | dt: 160ms | tok/sec: 1,638,999 | mfu: 39.6% | epoch: 1 | remaining: 279s    
step 00144 (7.1%) | loss: 3.595531 | lrm: 1.00 | dt: 161ms | tok/sec: 1,625,642 | mfu: 39.3% | epoch: 1 | remaining: 278s    
step 00145 (7.2%) | loss: 3.590625 | lrm: 1.00 | dt: 160ms | tok/sec: 1,638,452 | mfu: 39.6% | epoch: 1 | remaining: 278s    
step 00146 (7.2%) | loss: 3.592930 | lrm: 1.00 | dt: 163ms | tok/sec: 1,605,138 | mfu: 38.8% | epoch: 1 | remaining: 278s    
step 00147 (7.3%) | loss: 3.583283 | lrm: 1.00 | dt: 162ms | tok/sec: 1,613,533 | mfu: 39.0% | epoch: 1 | remaining: 278s    
step 00148 (7.4%) | loss: 3.582499 | lrm: 1.00 | dt: 160ms | tok/sec: 1,636,553 | mfu: 39.5% | epoch: 1 | remaining: 278s    
step 00149 (7.4%) | loss: 3.576444 | lrm: 1.00 | dt: 163ms | tok/sec: 1,611,702 | mfu: 38.9% | epoch: 1 | remaining: 278s    
step 00150 (7.5%) | loss: 3.573262 | lrm: 1.00 | dt: 163ms | tok/sec: 1,610,642 | mfu: 38.9% | epoch: 1 | remaining: 277s    
step 00151 (7.5%) | loss: 3.572082 | lrm: 1.00 | dt: 160ms | tok/sec: 1,643,259 | mfu: 39.7% | epoch: 1 | remaining: 277s    
step 00152 (7.6%) | loss: 3.568730 | lrm: 1.00 | dt: 161ms | tok/sec: 1,624,216 | mfu: 39.2% | epoch: 1 | remaining: 277s    
