commit	val_bpb	memory_gb	status	description
6af9bc3	0.981998	61.3	discard	depth 10 mlp 5.5x matrix lr 0.028
51879aa	0.982159	61.3	discard	depth 10 mlp 5.5x matrix lr 0.0275 warmdown 0.6
ab83172	0.982105	61.3	discard	depth 10 mlp 5.5x matrix lr 0.0275 warmdown 0.575
5807c2d	0.982428	61.3	discard	depth 10 mlp 5.5x matrix lr 0.0275 weight decay 0.25
ffaec92	0.982328	61.3	discard	depth 10 mlp 5.5x matrix lr 0.0275 embedding lr 0.65
942ddff	0.982875	62.7	discard	depth 10 mlp 5.5x value embeddings every layer
e963288	0.995354	59.9	discard	depth 10 mlp 5.5x no value embeddings
6e04454	0.982762	61.6	discard	depth 10 mlp 5.5x even plus final value embeddings
b7028a2	0.982297	61.3	discard	depth 10 mlp 5.5x value gate channels 64
62677c1	0.982697	61.3	discard	depth 10 mlp 5.5x value gate channels 16
50cf22d	0.983112	61.3	discard	depth 10 mlp 5.5x squared silu activation
47e3ea2	0.982167	61.3	discard	depth 10 mlp 5.5x window pattern SSSS
e168997	0.981921	61.3	discard	depth 10 mlp 5.5x window pattern SSSSL
732bbf8	0.982084	61.3	discard	depth 10 mlp 5.5x window pattern SSSLS
cbc3d4e	0.981838	61.3	discard	depth 10 mlp 5.5x matrix lr 0.0275 muon momentum 0.9
a7b4bf3	0.982200	61.3	discard	depth 10 mlp 5.5x matrix lr 0.0275 muon momentum 0.925
81dbd31	0.982411	61.3	discard	depth 10 mlp 5.5x matrix lr 0.0275 muon momentum 0.975
8415859	0.983186	61.3	discard	depth 10 mlp 5.5x matrix lr 0.0275 muon ns_steps 4
3b59240	0.981496	61.3	keep	depth 10 mlp 5.5x matrix lr 0.0275 muon beta2 0.9
beb7735	0.982101	61.3	discard	depth 10 mlp 5.5x matrix lr 0.0275 muon beta2 0.85
d859ff9	0.981737	61.3	discard	depth 10 mlp 5.5x matrix lr 0.0275 muon beta2 0.925
862e3ee	0.982032	61.3	discard	depth 10 mlp 5.5x matrix lr 0.0275 muon beta2 0.875
f64443e	0.982478	61.3	discard	depth 10 mlp 5.5x matrix lr 0.03 muon beta2 0.9
4b2e386	0.982182	61.3	discard	depth 10 mlp 5.5x matrix lr 0.02625 muon beta2 0.9
04efec3	0.981262	61.3	keep	depth 10 mlp 5.5x muon beta2 0.9 scalar lr 0.225
63ce2fe	0.981698	61.3	discard	depth 10 mlp 5.5x muon beta2 0.9 scalar lr 0.25
913de27	0.981355	61.3	discard	depth 10 mlp 5.5x muon beta2 0.9 scalar lr 0.2125
5b299f6	0.981380	61.3	discard	depth 10 mlp 5.5x muon beta2 0.9 scalar lr 0.22
94775a4	0.981595	61.3	discard	depth 10 mlp 5.5x muon beta2 0.9 scalar lr 0.225 embedding lr 0.625
8c7c9b1	0.981818	61.3	discard	depth 10 mlp 5.5x muon beta2 0.9 scalar lr 0.225 embedding lr 0.575
ff57cfa	0.982464	61.3	discard	depth 10 mlp 5.5x muon beta2 0.9 scalar lr 0.225 unembedding lr 0.0045
d0da3a2	0.982615	61.3	discard	depth 10 mlp 5.5x muon beta2 0.9 scalar lr 0.225 unembedding lr 0.0035
3880819	0.981816	61.3	discard	depth 10 mlp 5.5x muon beta2 0.9 scalar lr 0.225 warmdown 0.6
649b5d6	0.981604	61.3	discard	depth 10 mlp 5.5x muon beta2 0.9 scalar lr 0.225 warmdown 0.575
432479f	0.981691	61.3	discard	depth 10 mlp 5.5x muon beta2 0.9 scalar lr 0.225 weight decay 0.25
83ac785	0.981377	61.3	discard	depth 10 mlp 5.5x muon beta2 0.9 scalar lr 0.225 weight decay 0.175
afb8eca	0.983096	61.3	discard	depth 10 mlp 5.5x muon beta2 0.9 scalar lr 0.225 logit softcap 20
6268df0	0.981558	61.3	discard	depth 10 mlp 5.5x muon beta2 0.9 scalar lr 0.225 logit softcap 12
028f4e0	0.981622	61.3	discard	depth 10 mlp 5.5x muon beta2 0.9 scalar lr 0.225 logit softcap 14
ea13cd1	1.046331	38.6	discard	width 640 device batch 64
a889c4e	0.982631	61.3	discard	depth 10 mlp 5.5x muon momentum schedule end 0.9
7c11885	0.983838	61.3	discard	depth 10 mlp 5.5x muon momentum schedule end 0.975
e1a8945	0.981960	61.3	discard	depth 10 mlp 5.5x muon momentum ramp 150
f077c54	0.982740	61.3	discard	depth 10 mlp 5.5x muon momentum ramp 600
e0596a3	0.985448	61.3	discard	depth 10 mlp 5.5x constant muon weight decay
122eebf	0.981019	61.3	keep	depth 10 mlp 5.5x quadratic muon weight decay
8c970a3	0.982057	61.3	discard	depth 10 mlp 5.5x cubic muon weight decay
8cc1382	0.981607	61.3	discard	depth 10 mlp 5.5x muon weight decay exponent 1.5
e74448c	0.980603	61.3	keep	depth 10 mlp 5.5x quadratic weight decay 0.25
f6710c9	0.980763	61.3	discard	depth 10 mlp 5.5x quadratic weight decay 0.3
243be07	0.980873	61.3	discard	depth 10 mlp 5.5x quadratic weight decay 0.275
deec449	0.980726	61.3	discard	depth 10 mlp 5.5x quadratic weight decay 0.2625
b5bb87b	0.981772	60.0	discard	current best with mlp expansion 5.25x
5b6be75	0.981152	61.3	discard	current best with window pattern SSSSL
85bf0f9	0.982035	55.7	discard	current best with depth 9
a1d8307	0.984518	61.3	discard	current best with cosine lr warmdown
d7b85ec	0.984305	61.3	discard	current best with warmup 0.005
4f79874	0.980537	61.3	keep	depth 10 mlp 5.5x quadratic wd 0.25 final lr frac 0.01
1d1c1b4	0.980333	61.3	keep	depth 10 mlp 5.5x quadratic wd 0.25 final lr frac 0.02
ae35411	0.980304	61.3	keep	depth 10 mlp 5.5x quadratic wd 0.25 final lr frac 0.04
ab24533	0.980027	61.3	keep	depth 10 mlp 5.5x quadratic wd 0.25 final lr frac 0.06
712d072	0.980331	61.3	discard	depth 10 mlp 5.5x quadratic wd 0.25 final lr frac 0.08
5ce4531	0.980012	61.3	keep	depth 10 mlp 5.5x quadratic wd 0.25 final lr frac 0.065
fd7d09f	0.980332	61.3	discard	depth 10 mlp 5.5x quadratic wd 0.25 final lr frac 0.07
9927ef5	0.980001	61.3	keep	depth 10 mlp 5.5x quadratic wd 0.25 final lr frac 0.0625
aa4f11b	0.980431	61.3	discard	depth 10 mlp 5.5x quadratic wd 0.25 final lr frac 0.06125
ffa9bf4	0.980282	61.3	discard	depth 10 mlp 5.5x quadratic wd 0.25 final lr frac 0.06375
11052e2	0.980139	61.3	discard	depth 10 mlp 5.5x quadratic wd 0.25 final lr 0.0625 warmdown 0.6
c6f1d92	0.980502	61.3	discard	depth 10 mlp 5.5x quadratic wd 0.25 final lr 0.0625 warmdown 0.575
cf4197a	0.980692	61.3	discard	depth 10 mlp 5.5x quadratic wd 0.225 final lr 0.0625
310cbdc	0.980263	61.3	discard	depth 10 mlp 5.5x quadratic wd 0.25 final lr 0.0625 scalar lr 0.23
93575fb	0.980248	61.3	discard	depth 10 mlp 5.5x quadratic wd 0.25 final lr 0.0625 matrix lr 0.02725
ab4ba65	0.979904	61.3	keep	depth 10 mlp 5.5x quadratic wd 0.25 final lr 0.0625 matrix lr 0.02775
8bc7b3b	0.980371	61.3	discard	depth 10 mlp 5.5x quadratic wd 0.25 final lr 0.0625 matrix lr 0.028
f22c838	0.980483	61.3	discard	depth 10 mlp 5.5x quadratic wd 0.25 final lr 0.0625 matrix lr 0.027875
6a219d5	0.980186	61.3	discard	depth 10 mlp 5.5x quadratic wd 0.25 final lr 0.0625 matrix lr 0.027625
f60bba9	0.980082	61.3	discard	depth 10 mlp 5.5x quadratic wd 0.25 final lr 0.065 matrix lr 0.02775
1e69210	0.980211	61.3	discard	depth 10 mlp 5.5x quadratic wd 0.25 final lr 0.06 matrix lr 0.02775
0158f7d	0.980198	61.3	discard	depth 10 mlp 5.5x quadratic wd 0.25 final lr 0.0625 matrix lr 0.02775 scalar lr 0.23
86ef0ef	0.980215	61.3	discard	depth 10 mlp 5.5x quadratic wd 0.25 final lr 0.0625 matrix lr 0.02775 scalar lr 0.2275
4043418	0.980232	61.3	discard	depth 10 mlp 5.5x quadratic wd 0.25 final lr 0.0625 matrix lr 0.02775 scalar lr 0.2225
0116e8b	0.980091	61.3	discard	depth 10 mlp 5.5x quadratic wd 0.25 final lr 0.0625 matrix lr 0.02775 embedding lr 0.61
4df48d1	0.980040	61.3	discard	depth 10 mlp 5.5x quadratic wd 0.25 final lr 0.0625 matrix lr 0.02775 embedding lr 0.59
6ebafd6	0.980316	61.3	discard	depth 10 mlp 5.5x quadratic wd 0.25 final lr 0.0625 matrix lr 0.02775 embedding lr 0.595
